link,description,date,title,location,price,location2
https://norwich.craigslist.co.uk/apa/d/sex-flat-gorleston-on-sea/6525294378.html,"Complete flat for escort, sex meets, affairs, etc, I am in the adult industry so not easily shocked.  Price by negotiation, hourly/daily etc..T.BA.",31/03/2018,Sex flat Gorleston on sea,Gorleston-On-Sea,10,Gorleston-On-Sea
https://brighton.craigslist.co.uk/roo/d/free-room-tonight/6530662860.html,I'm happy to host a woman here - just conscience that someone needs a room.  No sex expected at all.,14/03/2018,Free room tonight,Brighton,NA,Brighton
https://london.craigslist.co.uk/roo/d/female-for-subsidised-flat/6555152804.html,"Room in flat offered to a non smoking , clean , tidy ,intelligent and respectful woman. Close to all amenities  ,modern , warm and comfortable.  Flat shared with 40`s guy / Owner.  Central London just 30 minutes away by train.  Not looking for rent , but some alternatives considered .",10/04/2018,Female for subsidised flat share wanted .,Hatfield,NA,London
https://bristol.craigslist.co.uk/roo/d/on-weekly-basis-free-to-female/6556281757.html,"Nice single warm attic room, fully furnished (and all linen) in a clean smart designer flat in quiet part of town with Wi-Fi, Netflix etc. Dinner and breakfast served too. Available for a week at a time to any woman that requires a short term place to stay for a break, or just to get your washing done. We can agree a minimal price or just help me out. Bathroom and kitchen shared with myself, professional handsome older guy. Your pic gets further details. Genuine ad.",09/04/2018,"B & B on weekly basis, free to a female",Swindon,NA,Swindon
https://london.craigslist.co.uk/roo/d/seeking-mature-house-helper/6555669113.html,"Seeking Single reliable Caring trustworthy honest caring mature female helper for light house chores as well shopping etc for exchange in Free rent house share in West London Zone 6 Person must be open clean great sense of humor talented as well a person who is house proud in matters if that you are this person and capable to do light chores and help with shopping and can aid support then please get back to myself with more information of one self with a photograph of introduction thank you for mine in return this is a genuine ad and respect others too to be genuine too ,....hope to hear from you soon regarding this matter .  Regards",09/04/2018,Seeking Mature House Helper / Carer Female for exchange of free rent,Uxbridge,NA,London
https://birmingham.craigslist.co.uk/roo/d/room-available-for-female/6530070205.html,"I have a room available in my 2 bed flat, available to females only, rent negotiable or maybe come to an arrangement.  Time wasters need not bother applying. If you are genuinely interested then get in touch.  I have KIK too, username is BIGRob1979UKX",31/03/2018,Room available for female,Eccleshall,NA,Eccleshall
https://manchester.craigslist.co.uk/sha/d/female-massage-therapsit/6511975096.html,"Hi girls,  Do you want to make lots of money and have some fun???  Im looking to use/rent some space to massage from  OR  find another independant and work with them from their property in return for money or setting them up wirth work as I'm very good at the business side of massaging/working and can help you make lots of money.  I've recently moved house and don't feel comfortable working from here because of my housemate.  Im very open minded and friendly so if you're interested let me know. Its loads of fun doing this work, very well paid and much safer working with a friend!!!  I just need enough space to put up a massage table and make it look nice and welcoming!  I am looking for space to work from, but more so another girl to work with who wants to have fun and make some serious money!!  Get back to me on 0-7-3-9-1-8-4-8-0-1-9  PLEASE ONLY RESPOND IF YOU ARE ABLE TO WORK FROM HOME AND LIVE IN OR VERY CLOSE TO MANCHESTER  MALES, no I don't want to use your space in return for massage, I'll give you <U+613C><U+3E33>25 per day or 10% of what I make  XXX",27/03/2018,Female Massage therapsit needs room to work from,Manchester,NA,Manchester
https://london.craigslist.co.uk/roo/d/free-room-for-female/6540016305.html,"I have a spare room for a female to stay for rent free, but must be willing to earn your keep by helping out with things like Cleaning and Shopping runs. Maybe cooking etc. i'm looking for someone who is a clean tidy person most important I can get on with. If you are serious contact me only please:",26/03/2018,Free room for female,N London,NA,London
https://london.craigslist.co.uk/roo/d/one-week-only-shared-room-for/6541969627.html,"From now until the morning of 31st March.   A shared room is available for a Female who needs to it for a very short while.   You will be sharing with myself, I am a young black male, easygoing and trustworthy.   There is no payment required, just companionship and housekeeping duties.",24/03/2018,One Week Only shared room for Female,Hackney,NA,London
https://london.craigslist.co.uk/vac/d/free-room-for-female/6541030301.html,"I have a nice spare room for a female to stay for rent free for long term, willing to help with cleaning and shopping, maybe sometimes help with cooking. If you are female, clean tidy, over 18 and under 30, you are welcome.",23/03/2018,Free room for female,East Central London,NA,London
https://london.craigslist.co.uk/roo/d/short-term-room-for-female/6538105503.html,"Anyone needs urgent accommodation for few weeks? I can offer spare room in my flat in exchange for cooking, cleaning, etc. The flat is in West London zone 4, near Piccadilly line (Uxbridge branch).   This is genuine ad and no sexual favours expected.",23/03/2018,Short Term Room for Female,London,NA,London
https://essex.craigslist.co.uk/roo/d/beautiful-apartment/6553358137.html,Hi I have a spare room in my apartment looking for a female to move in for free anyone interested contact me,10/04/2018,Beautiful apartment,Essex,NA,Essex
https://london.craigslist.co.uk/reo/d/room-to-stay/6556223116.html,free room for business lady mature woman why pay 150 a night for a night stay in London when you can stay in my flat near Kensington Olympia tube station free room for intimacy for a lady please put female in the subject line xxx,09/04/2018,room to stay,West London,NA,London
https://london.craigslist.co.uk/roo/d/free-room-in-exchange-for/6555766878.html,I am looking for fun easy going female to share my flat with.  I am 39 male.  The flat got everything and fast WiFi. Washing machine etc,09/04/2018,Free room in exchange for cleaning,NA,1,London
https://london.craigslist.co.uk/vac/d/free-holiday-in-central/6548301991.html,Hi I (professional male 36...) have a two bed two bath flat by tower bridge and willing to let an open minded female or couple use the spare room for a free weekend / week in London . Reply with pics and questions ...,06/04/2018,Free holiday in central London Airbnb,NA,1,London
https://hampshire.craigslist.co.uk/sha/d/24-year-old-male-willing-to/6520226116.html,"Hi I'm a 28 year old mixed race male. Quite tall, 6'3 and very muscular. I'm also very clean, charming and respectable. And willing to do certain things for free accommodation.   Any female elder landlords intrested??",03/04/2018,24 year old male willing to share room (SUSSEX) (SURREY) (HAMPSHIRE),Southampton,NA,Southampton
https://london.craigslist.co.uk/roo/d/room-to-rent-per-night-for/6550414144.html,Hello.   I'm offering a room to rent with shower and food for female company.   Email me for quick reply. Available most days.,03/04/2018,Room to rent per night for company,North West London,NA,London
https://london.craigslist.co.uk/roo/d/free-double-bedroom-for-long/6550078288.html,"There is a furnished nice spare double bedroom in East Central London.  The room is free for a female to stay for long term, willing to help with cleaning and shopping in free time, maybe sometimes help with cooking.",02/04/2018,FREE DOUBLE BEDROOM FOR LONG TERM STAY,East Central London,NA,London
https://london.craigslist.co.uk/roo/d/beautiful-house-share/6550082738.html,"I've a large and newly renovated house that's available for a female to share in Queen's Park NW London, I'm open to exploring rent reduction ideas to help you keep the rent as low as possible.   What's the best number to contact you on to discuss this further?  Speak soon :)",02/04/2018,Beautiful house share available for free NW London,Queen'S Park,NA,London
https://oxford.craigslist.co.uk/sub/d/free-hotel-room/6549427671.html,"Hi, i am travelling to Reading this coming weekend and would love to have a companion for my stay.  Females only, age/looks are not important. No naughty stuff is expected.  Just would like some female company during my stay.  I will cover food/drinks etc...Message me for details and a picture. Hope to hear from you soom",02/04/2018,Free hotel room,Reading,NA,Reading
https://brighton.craigslist.co.uk/roo/d/double-room-offered-for-free/6545685689.html,"Hi there.   Ground floor Dounle Room in Shoreham Beach, short walk to local shops and major bus route. Very Close to town and Shoreham Train Station with great links to London and Brighton.   Offering rent free to young female who are 18-30 who wants to be able to save and live stress free for a while.   Would be a bed share, with help with housework the only real stipulations. Only thing you have to buy is personal items.   Send pic, some info and contact details if interested   Serious ladies only, this is not a joke and a genuine offer.   Also open to long term arrangement and Terms that we both agree on. Just tell me anything and i do believe we can sort things out.   Look forward to hearing from you soon  Bryan",28/03/2018,Double room offered for free,Shoreham,NA,Shoreham
https://kent.craigslist.co.uk/roo/d/tunbrudge-wells-rent-free/6545112908.html,"Lovely large flat central Tunbridge Wells, 1 bedroom, nice area, balcony.  Wifi, bills, food included.  Looking for a female 18+ to share rent free.  Genuinely only please.",28/03/2018,Tunbrudge Wells rent free,Tunbridge Wells,NA,Tunbridge Wells
https://birmingham.craigslist.co.uk/sub/d/hotel-at-nec/6544175456.html,"Hotel accommodation, shared room with me!  5-8 April .  Will suit Open minded female",27/03/2018,Hotel at NEC,Birmingham,1,Birmingham
https://hampshire.craigslist.co.uk/roo/d/free-room/6542828991.html,I am a 20 year old male looking for a female aged 16-30 to come and move into my house in a separate room free of charge. Terms will be agreed later on thanks.,26/03/2018,FREE ROOM,London,NA,London
https://london.craigslist.co.uk/roo/d/free-clean-warm-3-bedroom/6542192606.html,"Looking for open-minded female  to help with house chores,  in return they can live rent-free.   Please send a picture and a bit of information about yourself.  House type and facilities <U+2028>Rental  free bed house for let in  Colliers Wood  South London  , located close to London landmarks. fully furnished, self-contained and includes all private facilities. <U+2028><U+2028>Apartment facilities <U+2028><U+393C><U+3E35> self-catering fully fitted kitchen (including Fridge/Freezer, Washing Machine, Microwave, Cooker/Oven, Vacuum Cleaner cookware, cutlery, etc.); <U+2028><U+393C><U+3E35> double bed  <U+393C><U+3E35> furniture: wardrobe, chairs, chest of drawers, dining table, <U+2028><U+393C><U+3E35> free view TV FREE Wi-Fi connection. <U+2028><U+2028> Rent very negotiable.   Looking for female and open-minded",25/03/2018,"Free, clean, warm 3 bedroom house .Cosy for open minded type.  (",Colliers Wood,NA,London
https://london.craigslist.co.uk/roo/d/maisonette-share-very-low/6542127735.html,"I hope you are well.  Extremely low cost accommodation share available for a female South London/Surrey borders near Tooting, Colliers Wood and Mitcham, close to Northern line, District line, mainline, tram, buses.  6ft3in tall Dominant strict gentleman, ideally you will be submissive or switch, kinky and open minded or an interest in exploring the more controlled disciplined lifestyle.  Discreet maisonette in cul de sac, maisonette share, bedroom share, wifi, bath, washer/dryer, ideal for open minded kinky female.   Rent extremely low, small contribution to shared bills. This will be fully discussed and agreed.  Genuine sensible offer, if interested, please get in touch, tell me about yourself and your interest and we can meet for a drink and chat before you decide or commit. More suited to a female,no offence intended.",25/03/2018,Maisonette share very low cost with Dominant strict gentleman S London,Cr4 Mitcham,NA,London
https://cardiff.craigslist.co.uk/roo/d/1-bedroom-flat/6538058008.html,"Clean/warm and modern 1 bedroom flat available to share with nice non smoking pet free female +40 yrs,(random postcode & not correct postcode of whereabouts of property)  Genuine posting no timewasters/males need reply",21/03/2018,1 bedroom flat,Swansea,50,Swansea
https://london.craigslist.co.uk/sha/d/flatshare-with-pets/6515912115.html,Looking for a room in Fulham?Female open to an arrangement if your different.Just be serious!!!!,20/03/2018,Flatshare with pets?,NA,NA,London
https://london.craigslist.co.uk/roo/d/lovely-room/6535706522.html,50 per week   All bills included Internet gas electric   Female only   Email for details  show contact info,19/03/2018,Lovely room,Ashford,NA,London
https://london.craigslist.co.uk/vac/d/free-holiday-room/6534767244.html,"Hi  NICE BEDROOM FOR FREE FOR A FEMALE FOR HELP WITH CHORES in FREE TIME.  Free nice double bedroom, located close to Old Street Tube Station in Central London in Zone 1 in a very nice, safe and central area.  This area is very popular as there are plenty of restaurants, coffee shops, clubs, pubs, many shops, also Tesco and Sainsbury's just two minutes walk from the home. Close to Brick lane.  Very good public transport services well connected with Old Street Tube Station, Hoxton Train Station, and many buses are runs day and night.  Need a decent person help with basic chores in free time.  The free double bedroom is for free for a female ( female student or female working person).  Female must be over 18, any nationality and nice person.  Not share room and you have your own furnished double bedroom.  No pay for rent and no pay for bills.  Newly fully furnished, neat and clean.   The free double bedroom has new furniture, new king size bed with bedding, desk, chair, wardrobe, nice window, etgc  New shared kitchen and NEW shared bathroom.  FREE fast unlimited wifi connection.  Welcome to stay for free for long term / 3 MONTH, OR 6 MONTH, OR ONE YEAR, OR LONGER ......  Tell me bit about yourself with your contact deatils  See you",18/03/2018,FREE HOLIDAY ROOM,In Zone 1 Near To Old Street,NA,London
https://london.craigslist.co.uk/roo/d/private-social-care-wanted/6553296470.html,"Genuine advert Private Social Care Wanted Free Rent House Share Free Food, Drinks, Usage of all facilities, No House Rules, Come and go as one please, Own Space, only offered to a Reliable caring truthfully trustworthy honest Single Open Minded young or Mature Females only ,..Must be Capable to do light house chores , Cooking, Washing etc,...as well to help and Aid a Single Open Minded White British Mature kind Considerate Generous Soft hearted by nature Calm Giving caring loyal Clean Disabled Gentleman at all times ,.....Application open now ready to view or move in ,...if interested please apply with details of one self as well a photograph of oneself for security ,.....for mine in return offers are open to short or long term stays , Offer open as well to females who can or can not drive but willing to learn to drive with all expensive paid for in return to receive a vehicle in return for their needs as well for the Gentleman's need's to get from "" A to B "",...hope to hear from you soon who ever you may be thank you .",08/04/2018,Private Social Care Wanted Free Rent House Share Single Females Only,Zone 6,NA,London
https://london.craigslist.co.uk/sha/d/1-bedroom-needed/6530961565.html,18 female single.No pets and non smoker.Needing a 1 bedroom flat by April .Prefer East end but any place I'll seriously consider.Must be no more than housing benefit Rate <U+613C><U+3E33>161.02 per week.Thankyou .kirsten,17/03/2018,1 bedroom needed,London,NA,London
https://london.craigslist.co.uk/roo/d/clean-room-available/6532755549.html,Female only.  60 pounds per week.   Lovely room share kitchen and bathroom with landlord   Available may,16/03/2018,Clean room available,Kent,NA,London
https://london.craigslist.co.uk/roo/d/room-for-rent/6531818860.html,"Hey, got a spare room for rent, decent sized double room with built in cupboard. Furniture can be supplied. I am looking for a Female tenant, some one thats clean and respectful. I would offer a suggestion of a different arrangement instead of money but i am happy either way. Please get back to me with any other questions. 1st time i have advertised a room for rent. Regarding rent like i said i am ipen to offers and maybe we can work something out.  Thanks",15/03/2018,Room for rent,NA,NA,London
https://london.craigslist.co.uk/roo/d/free-room-for-fit-females-in/6543386696.html,"Free accommodation in a 5 star hotel and casino residence in North Cyprus for 1-3 month, seaside, private beach, pool, spa.   2 x females wanted, preferably friends or siblings.  Send your pics     18-27 years old fit and good looking girls should apply.",26/03/2018,Free room for fit females in seaside hotel and casino in North Cyprus,NA,NA,London
https://bath.craigslist.co.uk/roo/d/double-room-for-single-let/6526901819.html,"Nice  double furnished room to let  ,internet /tv no bills  or deposit   Live in landlord  offers a low rent for a  female 20/ 35   Who  likes.  The accational  male company  and a little fun time",11/03/2018,Double room for single let  y,Wiltshire,70,Wiltshire
https://cardiff.craigslist.co.uk/roo/d/room-to-share/6523767233.html,"Female of any age welcome to share a room with me. There is a king sized bed and you will have use of the property   Different to the rest of the posts on here I'm not expecting payment in "" other ways"".   I will share the room for up to a week and I don't  want any payment. Just some company. Nothing sexual unless we both wanted it.   So if you need a place in cardiff for the week. Message me with some details about you. A photo would be nice and when you would need the room.",09/03/2018,Room to share.,Cardiff,NA,Cardiff
https://london.craigslist.co.uk/roo/d/room-available-close-to-city/6537205340.html,"Hi I have a small room available close to the city now that my flatmate has finished uni, would ideally suit a busy professional, rent negotiable.  Females only   No TIMEWASTERS I have had to relist due to time wasters please only genuine people apply.   I will require a video call to verify you are who you say you due to time wasters previously",20/03/2018,Room available close to city,London,NA,London
https://bristol.craigslist.co.uk/hou/d/flat-wanted-in-bristol/6521191555.html,"Hi,   I'm a 22 year old female, I work full time and need to move out of my dads ASAP .!!",06/03/2018,Flat wanted in bristol,Bristol,NA,Bristol
https://london.craigslist.co.uk/sub/d/basement-flat-mayfair/6524727210.html,"Basement flat in Mayfair available immediately. 2 mins from popular hotel off Park Lane. Suitable for two to 4 friends to work or live or 1 person. Two rooms with all facilities. Walk in no hassle.Walk out no hassle. Money talks, ballshite  walks!!.Available immediately for absolutely respectable and discreet  and trouble free peraon (s) to live or work. Can accommodate 4. Rent non negotiable <U+613C><U+3E33>1,800 per week for flat or ? <U+613C><U+3E33>600 per person  SERIOUS? Then send a message with your mobile number and I will call you. Ideal for females!",12/03/2018,Basement Flat -Mayfair available now!,Park Lane,NA,London
https://brighton.craigslist.co.uk/roo/d/spare-room-in-4-bed-house/6516310027.html,Spare room in house till the end of August when we will be moving.  Suit female students.  Female of couple is 24 studying law. Room on separate floor and private bathroom. Kids visit every 2/3 weekend for weekends. Couple travel a lot,02/03/2018,Spare room in 4 bed house with young couple,Brighton,NA,Brighton
https://bristol.craigslist.co.uk/roo/d/clifton-room-available-free/6557017989.html,Have a room available for a few weeks rent free women only nothing expected apart from keeping it clean I will also be here but you have your own room.  Email me for details   Put howdy captain in subject so I can tell it isn't spam.,10/04/2018,Clifton room available free,Clifton,NA,Bristol
https://london.craigslist.co.uk/sub/d/room-available-for-free-for/6554824583.html,"hi   I've a nice room available for the right girl - I don't expect any rent as long as you are attractive and open minded.  The room is well located in Chelsea, and will suit a creative, well educated lady.  Available now until June/July  looking forward to hearing from you",08/04/2018,Room available for free for attractive lady,NA,NA,London
https://london.craigslist.co.uk/roo/d/free-furnished-accommodation/6553268205.html,"Fully furnished private room in two bedroom flat for male, age range 25 to 40 or so. Rent free in return for some practical help about the house and garden. Mature gay male owner, Ask for details. Please contact by email only and include a photo for quick reply.",06/04/2018,Free furnished accommodation for male,Elephant & Castle,NA,London
https://london.craigslist.co.uk/sub/d/free-tripple-size-room-in/6552351688.html,"i have a huge place but i am never there to use it so its just going to waste .  tall ceilings ,lots of windows for light,tv in all rooms,internet nicely furnished .has bathroom and shower,kitchen has washer and dryer.  is close to underground,overground and 2 bus garages so transport is excellent . doctors and dentist 2 mins away as well is a busy high road with lots of shops and a nice nightlife.also a nice big park 10 mins walk away.  looking for someone to have the room as i dont use it .must be clean tidy and trustworthy.",05/04/2018,"free tripple size room in huge house ,bathroo,tv,internetwashing",Nw London,1,London
https://london.craigslist.co.uk/apa/d/free-room-in-kensington/6549866476.html,"I am looking for a lady who would like a free room in my lovely house in North Kensington . In exchange for the room i am looking for a housekeeper . You must be trustworthy , open minded and happy to go the extra mile .  I offer a double room ensuite , safe and secure area PLEASE NO PARTY ANIMALS .......You shall have full use of house and garden ......",02/04/2018,Free room In Kensington,London,NA,London
https://london.craigslist.co.uk/roo/d/free-room-for-rent-kensington/6547025972.html,"I am looking for a lady to help with some household chores and extras . You will have a free room in a beautiful secure gated house just 5 Min from the famous Portobello market . You would have a double room en suite , use of all house . I am not looking for a party girl .....this can be long term for right lady.",30/03/2018,free room for rent Kensington,London,NA,London
https://london.craigslist.co.uk/roo/d/free-room-share-for-young-guy/6543716799.html,"I have a double room to share with a young guy from 18 to 28, let me know if you are interested? I am 36 asain Male",26/03/2018,Free Room share for young guy,Lewisham,NA,London
https://london.craigslist.co.uk/roo/d/free-room-share-for-young-guy/6543702028.html,"I have a room share available for young guy 18 to 28 years old, this is south east London zone/3, let me know if you are interested? I am 37 asain Male.",26/03/2018,Free room share for young guy,Lewisham,NA,London
https://manchester.craigslist.co.uk/roo/d/free-room-available-in/6540023033.html,"I have a room available in my two-bed flat in the city centre, available to open-minded males, rent negotiable or maybe come to an arrangement. Please contact with a picture and a bit about you and your current situation.",22/03/2018,Free room available in Manchester for male,Manchester,NA,Manchester
https://eastmids.craigslist.co.uk/sha/d/free-room-to-rent/6535885263.html,Free room to rent come with your own bathroom room and free food all week just look after it way am away go business,19/03/2018,Free room to rent,Nottingham/Westbrigford,NA,Westbrigford
https://eastmids.craigslist.co.uk/roo/d/free-room-for-girl-girls/6531957521.html,Free room share for girl/girls TV shower facilities bed internet no bills or rent to pay just buy your own food an do what ever you want,15/03/2018,Free room for girl/girls,Leicester,NA,Leicester
https://london.craigslist.co.uk/vac/d/free-temporary-short-term/6529810285.html,"Are you visiting London for a few days on a budget?  Or do you need somewhere to stay while you're between homes?  I have a furnished double room available in my flat in Ealing on a short term basis. I'm an open minded, friendly and respectful guy. Drop me a message with a picture and what you could offer in return for your free accommodation (I'm pretty flexible on this, so try me..)",14/03/2018,FREE temporary / short term accommodation offered for 18-28yo guys,Ealing,NA,London
https://london.craigslist.co.uk/roo/d/room-available-for-homeless/6557493472.html,"Room available for homeless girl. Room and food provided for free in exchange for company.   And to the person who keeps flagging this advert..... you really need to get a hobby! As there are girls out there who do really need help, I know because I've helped others in the past! And all you are doing is depriving them of that opportunity! But I suppose once a TWAT... then always a TWAT!",10/04/2018,Room available for Homeless Girl,South Of London,NA,London
https://sheffield.craigslist.co.uk/roo/d/double-room-in-loft-appartment/6553987770.html,Double bedroom 12x13ft roughly in spacious 3 bed loft appartment large seating entertaining room with free WiFi and access to web through apple so I have no need to watch telly and chose to listen to music and watch adult movies. Recently updated shower toilet shared facility's gd sized kitchen gas hob fan oven fridge freezer washing machine room is let as unfurnished but can arrange if agreeable double bed chest of draws two seater sofa. I'm a kinda down to earth guy with my thoughts and dreams flying high up amongst the clouds but don't let that fool you I'm know daydream believer I am a happy in my own  skin contact me at  show contact info   and I will send pics of what you want to see.,10/04/2018,Double room in loft appartment,Bradley St,70,Sheffield
https://devon.craigslist.co.uk/roo/d/room/6556897846.html,Free room for a little bit of help around the house,10/04/2018,Room,Saltash,NA,Saltash
https://oxford.craigslist.co.uk/roo/d/until-early-june/6540351968.html,Very happy to offer any student a free room until June   Happy to negotiate terms of living arrangements.   10  Mins from city,06/04/2018,Until early June,Oxford City,NA,Oxford
https://london.craigslist.co.uk/roo/d/clean-and-tidy-studio/6532309475.html,"hi,   i am looking for someone who is looking for a place to stay over night / evenings or needs storage space. this is for a shortperiod we can discus. please feel free to contact me with further queries or to view the property. great location right next to fulham broadway station and the shops.   kind regards.",05/04/2018,clean and tidy studio apartment fulham broadway.,Fulham Broadway,50,London
https://cardiff.craigslist.co.uk/rew/d/house-flat-wanted/6531250858.html,"Mid 40's straight white professional male, recently separated and requiring somewhere to live urgently.   A house or flat or room share in your home.   No pets and a non smoker with a car so ideally somewhere I can park too.   Can't afford a deposit and due to costly maintenance can only afford approx <U+613C><U+3E33>300 a month in rent. I work 9-5 Monday to Friday and on my weekends likely to be trying to spend time away with my kids.   Very clean and not at all noisy.   I'm good at cooking, used to run my own home improvement company so better than your average DIYer. Therefore I'm more than willing to do stuff around your home for free to help pay my way. In fact I will do anything for you if you help me, just ask.",03/04/2018,"House, flat wanted",South Wales,NA,South Wales
https://london.craigslist.co.uk/roo/d/genuine-and-sincere-ad/6548775761.html,"Sincere senior gentleman offering a single room rent free in return for cleaning, house-keeping duties, shopping and companionship.  I welcome messages from anyone interested, describing yourself and your reasons for applying.",01/04/2018,genuine and sincere ad,London White City,NA,London
https://london.craigslist.co.uk/roo/d/room-available-for-homeless/6525253931.html,Room available for homeless woman. Rent free and food provided. Any race welcome.,10/03/2018,Room available for homeless woman,North London/Essex,NA,London
https://birmingham.craigslist.co.uk/roo/d/single-room-to-let-on-nightly/6519250255.html,"I have a single room to let on a Nightly basis, Monday afternoon through to Friday morning, <U+613C><U+3E33>35 per night, negotiable, Free Wi-Fi and 2 min walk from Number 29 and 49 bus route",05/03/2018,"Single Room to let, on a Nightly basis",Rednal,35,Rednal
https://london.craigslist.co.uk/sbw/d/light-hotel-fun/6533028821.html,"Hi all! I am in London this weekend, but unfortunately I do not have an ID with me which is making booking a hotel difficult. I know it is short notice, but if anybody was able to rent out a room for the weekend for a 25 year old guy on a budget, I would be very grateful!",16/03/2018,Light Hotel Fun :),Need Temp Accomodation This Weekend!,NA,London
https://birmingham.craigslist.co.uk/roo/d/room-for-professional/6541742489.html,"I have a clean, discreet city centre flat with ample parking outside and a spare room for a professional woman  28-55 who comes to Birmingham on business often and needs a place to have fun/work from as well as sleep.  I will not be there during day.  Daily rates of 50 per day but you can  leave in the afternoon next day after 3pm.  3 days=120  5 days= 150  Week= 200.  Or book it for one night is also possible.  Large private bathroom.  Use of kitchen facilities.  Contact for more info and pics. Will write out a receipt too if you need to claim costs back if you are on business.  This is purely a business arrangement and prefer a financial arrangement as I need the money.  Genuine ad!!!  Genuine enquiries only if the ad is still up then the room is available.",10/04/2018,Room for professional  F,City Centre,50,Birmingham
https://london.craigslist.co.uk/roo/d/decent-double-studio-with/6549649534.html,"Must Read Fully, Understand it wisely before you reply. Some one easy going, friendly and 'relaxed minded' required.  appreciated.  Newly Fully furnished,    all new furniture.  new shower   hot water 24/7.   very warm flat as all walls insulated well.   Own entrance  (s). Have choice of 2. Both fresh, new clean.     UNUSED....ALL NEW ALL NEW fridge freezer, sink, shower, basin, toilet, bed, mattress, desk, chair, storage, floors, ceilings, electric, walls, kitchenette,utensils all new. ALL NEW  ALL NEW.. UNUSED.  Respectful and understanding landlord. Although extremely busy with life, not ideal. Perhaps some one with smiles and 'fun' approach to life will suit best.  Still in a decent and humane and understanding way however. Mutually comfortable arrangement sought.   Please include phone number and some photos in first email so I know who I am talking to.   Extremely busy life schedule so not looking for emailing back and forth   Pls make your first email comprehensive and complete pack serving all that may be seen as needed.   Good Idea if you Include a phone number too as well as some photos of you so I see who I will be talking to.  Civilised, educated, good looking guy here that loves life and the adventures it offers.  Pls be a 'glass half full type'   Otherwise, It is pointless to reply to my add.  Pls also mention best suitable dates to move if all works between us.  Off course after a meeting or 2.  And for meeting,   enlist few options as Unfortunately, I am unable to arrange if there is only 1 strict date/time suggestion. Or if you say you are a very busy person.   I cannot fit into your schedule, it has to be the other way around, at least for our first meeting.  More flexibility from you will enable me to arrange with ease.     Price of the studio flat s is very negotiable, very.     Both short walk to tube and many buses and amenities, banks, coffee shops, supermarkets.  Let me know !! But only in the most comprehensive way, the way I asked in this add.  with your photos. a phone number and more info about you and meeting days/times suggestions, all of this in 1 message, first message pls.",07/04/2018,decent double studio with ensuite shower for easygoing relaxed person,London,70,London
https://london.craigslist.co.uk/apa/d/comfy-warm-double-studioall/6552345836.html,"Few minutes walk to jubilee line that works nights at weekends. Not far from tube   Many buses. Built to great specifications and decorated tastefully.  Vey warm and sweet looking.  Subsided rent very possible. Money no object.....  No Sofa in room, instead comfy big bed and additional shower and bathroom at far end... not in picture. Other 2 studios also built, finished this week, being painted and final touches.   Can consider for the right person.   Total focus is not just on the rent, an easy going person required who is pleasure to work with...   In return I ask for you to be my companion and socialise with me, help me relax with massages, occasionally prepare the odd meal for us and be a girlfriend with no strings attached adult fun on occasions. I am good looking, successful, 39 years old, intelligent, educated and with shaken not stirred sense of humour. If we get on well, I will take you with me on holiday abroad.  I am almost certain you will not be disappointed.   So if you are young and attractive and feel like a bit of an adventure in London with a nice gentleman, get in touch with a photo and a little bit about you and lets meet for a drink to see if we would get along.  Please send some details as to when you need it from and how long for.   More details about you and a phone number too and Ideally a photo or a few to be attched.  Pls answer as to why subsided rent will suit your needs.  Pls be wise in your reply.  Will the use of the apartment by the landlord be ok for you?   Decent tall handsome man here, relaxed minded. respectful and fun.   best suits open minded individual.    Pls include your phone number as well as a photo or 2 in the first email      Looking forward to meeting soon.   ASAP suits better",07/04/2018,"Comfy warm double studio.all new, unused.Cosy for relaxed you! enjoy",North West London,70,London
https://london.craigslist.co.uk/sha/d/room-share/6515636328.html,"Hello , Nice and friendly male looking for single room , look to discuss benefits also wiling to pay about 300.",02/03/2018,Room share  .,New Malden,NA,London
